value_en	description_en	codesystem	code	description_code
SSel XT Low Input 1-96+3-5.9 Mb,96rxn by Agilent Technologies	SSel XT Low Input 1-96+3-5.9 Mb,96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT346	SSel XT Low Input 1-96+3-5.9 Mb,96rxn by Agilent Technologies
SureSelectXT Custom 6-11.9Mb, 16, RO by Agilent Technologies	SureSelectXT Custom 6-11.9Mb, 16, RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT262	SureSelectXT Custom 6-11.9Mb, 16, RO by Agilent Technologies
HaloPlex 1-500kb, ILMFST, 96 by Agilent Technologies	HaloPlex 1-500kb, ILMFST, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT572	HaloPlex 1-500kb, ILMFST, 96 by Agilent Technologies
SSEL XT CRE V2 Plus 1, 16 rxn by Agilent Technologies	SSEL XT CRE V2 Plus 1, 16 rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT515	SSEL XT CRE V2 Plus 1, 16 rxn by Agilent Technologies
SSel XT HS 1-16 + CCP, 16rxn by Agilent Technologies	SSel XT HS 1-16 + CCP, 16rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT357	SSel XT HS 1-16 + CCP, 16rxn by Agilent Technologies
SSEL XT2 CRE V2, 96 auto by Agilent Technologies	SSEL XT2 CRE V2, 96 auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT489	SSEL XT2 CRE V2, 96 auto by Agilent Technologies
SureSelectXT2 Custom 1kb-499kb, 96 by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT162	SureSelectXT2 Custom 1kb-499kb, 96 by Agilent Technologies
SSELXT Human All Exon V7 Plus2,96 Auto by Agilent Technologies	SSELXT Human All Exon V7 Plus2,96 Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT413	SSELXT Human All Exon V7 Plus2,96 Auto by Agilent Technologies
KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche	KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT48	KAPA Low throughput Library Preparation KitIllumina, with real-time library amplification by Roche
Auto iDeal ChIP-seq kit for Histones x24 by Diagenode	Auto iDeal ChIP-seq kit for Histones x24 by Diagenode sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT28	Auto iDeal ChIP-seq kit for Histones x24 by Diagenode
SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies	SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT112	SureSelectXT2 Reagent kit, HSQ, 16 by Agilent Technologies
SSel XT HS 96 + CREv2, 96rxn by Agilent Technologies	SSel XT HS 96 + CREv2, 96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT379	SSel XT HS 96 + CREv2, 96rxn by Agilent Technologies
SSel XT Low Inp 97-192+CREv2+,96rxnAU by Agilent Technologies	SSel XT Low Inp 97-192+CREv2+,96rxnAU by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT338	SSel XT Low Inp 97-192+CREv2+,96rxnAU by Agilent Technologies
SSXT2 Human All ExonV5+MHC, 96, Auto by Agilent Technologies	SSXT2 Human All ExonV5+MHC, 96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT411	SSXT2 Human All ExonV5+MHC, 96, Auto by Agilent Technologies
SSELXT2 Human All Exon V6 Plus 2, 96rxn by Agilent Technologies	SSELXT2 Human All Exon V6 Plus 2, 96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT438	SSELXT2 Human All Exon V6 Plus 2, 96rxn by Agilent Technologies
SSXT2 Human All Exon V5+lncRNA, 96, Auto by Agilent Technologies	SSXT2 Human All Exon V5+lncRNA, 96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT410	SSXT2 Human All Exon V5+lncRNA, 96, Auto by Agilent Technologies
MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT95	MagJET NGS Cleanup and Size Selection Kit (4 x 96 preps) by Thermo Fisher Scientific
SureSelectXT Custom 6-11.9Mb, 96, Auto by Agilent Technologies	SureSelectXT Custom 6-11.9Mb, 96, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT208	SureSelectXT Custom 6-11.9Mb, 96, Auto by Agilent Technologies
