value	description	codesystem	code	iri
intraparotid lymph node	intraparotid lymph node	UBERON	0035080	http://purl.obolibrary.org/obo/UBERON_0035080
caudofemoralis longus	caudofemoralis longus	UBERON	0035081	http://purl.obolibrary.org/obo/UBERON_0035081
caudofemoralis brevis	caudofemoralis brevis	UBERON	0035082	http://purl.obolibrary.org/obo/UBERON_0035082
transverse process-bearing vertebra	transverse process-bearing vertebra	UBERON	0035083	http://purl.obolibrary.org/obo/UBERON_0035083
non-transverse process-bearing vertebra	non-transverse process-bearing vertebra	UBERON	0035084	http://purl.obolibrary.org/obo/UBERON_0035084
anatomical plane	anatomical plane	UBERON	0035085	http://purl.obolibrary.org/obo/UBERON_0035085
plane of autotomy	plane of autotomy	UBERON	0035086	http://purl.obolibrary.org/obo/UBERON_0035086
fracture plane	fracture plane	UBERON	0035087	http://purl.obolibrary.org/obo/UBERON_0035087
vertebral fracture plane	vertebral fracture plane	UBERON	0035088	http://purl.obolibrary.org/obo/UBERON_0035088
plane of autotomy bisecting joint	plane of autotomy bisecting joint	UBERON	0035089	http://purl.obolibrary.org/obo/UBERON_0035089
plane of autotomy bisecting intervertebral joint	plane of autotomy bisecting intervertebral joint	UBERON	0035090	http://purl.obolibrary.org/obo/UBERON_0035090
extrinsic post-anal tail muscle	extrinsic post-anal tail muscle	UBERON	0035091	http://purl.obolibrary.org/obo/UBERON_0035091
spinalis caudalis muscle	spinalis caudalis muscle	UBERON	0035092	http://purl.obolibrary.org/obo/UBERON_0035092
extensor caudae muscle	extensor caudae muscle	UBERON	0035093	http://purl.obolibrary.org/obo/UBERON_0035093
extensor caudae medialis muscle	extensor caudae medialis muscle	UBERON	0035094	http://purl.obolibrary.org/obo/UBERON_0035094
extensor caudae lateralis muscle	extensor caudae lateralis muscle	UBERON	0035095	http://purl.obolibrary.org/obo/UBERON_0035095
fascia of tail	fascia of tail	UBERON	0035096	http://purl.obolibrary.org/obo/UBERON_0035096
iliocaudalis muscle	iliocaudalis muscle	UBERON	0035097	http://purl.obolibrary.org/obo/UBERON_0035097
hemipenis transversus muscle	hemipenis transversus muscle	UBERON	0035098	http://purl.obolibrary.org/obo/UBERON_0035098
transversus perinei muscle	transversus perinei muscle	UBERON	0035099	http://purl.obolibrary.org/obo/UBERON_0035099
retractor penis magnus muscle	retractor penis magnus muscle	UBERON	0035100	http://purl.obolibrary.org/obo/UBERON_0035100
transverse process of caudal vertebra	transverse process of caudal vertebra	UBERON	0035102	http://purl.obolibrary.org/obo/UBERON_0035102
perineal body smooth muscle muscle tissue	perineal body smooth muscle muscle tissue	UBERON	0035103	http://purl.obolibrary.org/obo/UBERON_0035103
raphe of penis	raphe of penis	UBERON	0035104	http://purl.obolibrary.org/obo/UBERON_0035104
sac of scrotum	sac of scrotum	UBERON	0035105	http://purl.obolibrary.org/obo/UBERON_0035105
raphe of perineum	raphe of perineum	UBERON	0035106	http://purl.obolibrary.org/obo/UBERON_0035106
temporalis fascia	temporalis fascia	UBERON	0035108	http://purl.obolibrary.org/obo/UBERON_0035108
plantar nerve	plantar nerve	UBERON	0035109	http://purl.obolibrary.org/obo/UBERON_0035109
lateral plantar nerve	lateral plantar nerve	UBERON	0035110	http://purl.obolibrary.org/obo/UBERON_0035110
medial plantar nerve	medial plantar nerve	UBERON	0035111	http://purl.obolibrary.org/obo/UBERON_0035111
intrinsic muscle	intrinsic muscle	UBERON	0035112	http://purl.obolibrary.org/obo/UBERON_0035112
central part of mediodorsal nucleus of the thalamus	central part of mediodorsal nucleus of the thalamus	UBERON	0035113	http://purl.obolibrary.org/obo/UBERON_0035113
lateral part of mediodorsal nucleus of the thalamus	lateral part of mediodorsal nucleus of the thalamus	UBERON	0035114	http://purl.obolibrary.org/obo/UBERON_0035114
diastema between central incisors	diastema between central incisors	UBERON	0035115	http://purl.obolibrary.org/obo/UBERON_0035115
diastema between upper central incisors	diastema between upper central incisors	UBERON	0035116	http://purl.obolibrary.org/obo/UBERON_0035116
diastema between lower central incisors	diastema between lower central incisors	UBERON	0035117	http://purl.obolibrary.org/obo/UBERON_0035117
material entity in digestive tract	material entity in digestive tract	UBERON	0035118	http://purl.obolibrary.org/obo/UBERON_0035118
diastema between incisors	diastema between incisors	UBERON	0035119	http://purl.obolibrary.org/obo/UBERON_0035119
fauces	fauces	UBERON	0035120	http://purl.obolibrary.org/obo/UBERON_0035120
interincisive suture	interincisive suture	UBERON	0035122	http://purl.obolibrary.org/obo/UBERON_0035122
palatomaxillary suture	palatomaxillary suture	UBERON	0035123	http://purl.obolibrary.org/obo/UBERON_0035123
palatoethmoidal suture	palatoethmoidal suture	UBERON	0035124	http://purl.obolibrary.org/obo/UBERON_0035124
transverse palatine suture	transverse palatine suture	UBERON	0035126	http://purl.obolibrary.org/obo/UBERON_0035126
suture of hard palate	suture of hard palate	UBERON	0035127	http://purl.obolibrary.org/obo/UBERON_0035127
manus cartilage element	manus cartilage element	UBERON	0035128	http://purl.obolibrary.org/obo/UBERON_0035128
pes cartilage element	pes cartilage element	UBERON	0035129	http://purl.obolibrary.org/obo/UBERON_0035129
auditory ossicle endochondral element	auditory ossicle endochondral element	UBERON	0035130	http://purl.obolibrary.org/obo/UBERON_0035130
auditory ossicle cartilage element	auditory ossicle cartilage element	UBERON	0035131	http://purl.obolibrary.org/obo/UBERON_0035131
auditory ossicle pre-cartilage element	auditory ossicle pre-cartilage element	UBERON	0035132	http://purl.obolibrary.org/obo/UBERON_0035132
longitudinal arch of pes	longitudinal arch of pes	UBERON	0035133	http://purl.obolibrary.org/obo/UBERON_0035133
